index,interval(ms),time(ms),command_slave,position_slave,speed_slave,command_master,position_master,speed_master,force_slave,elapsed_time(ms),command_slave_amps,position_slave_deg,command_master_amps,position_master_deg
21,15,5581,0,-642,-0.3,2,-2603,-1.6,0.37,336.0,-2.0019550342130987,-225.703125,-2.0,-915.1171875
22,17,5598,0,-3391,-1.9,2,-255,-4.5,0.1,353.0,-2.0019550342130987,-1192.1484375,-2.0,-89.6484375
23,16,5614,0,-3702,-6.8,2,-4601,-1.2,0.24,369.0,-2.0019550342130987,-1301.484375,-2.0,-1617.5390625
24,15,5629,0,-4740,-0.3,2,-3406,-2.2,0.35,384.0,-2.0019550342130987,-1666.40625,-2.0,-1197.421875
25,17,5646,0,-4032,-5.7,2,-470,-1.4,0.4,401.0,-2.0019550342130987,-1417.5,-2.0,-165.234375
26,16,5662,0,-2058,-2.5,2,-2918,-4.8,0.2,417.0,-2.0019550342130987,-723.515625,-2.0,-1025.859375
27,16,5678,0,-1179,-5.5,2,-288,-2.9,0.12,433.0,-2.0019550342130987,-414.4921875,-2.0,-101.25
28,16,5694,0,-1410,-1.9,2,-262,-2.3,0.53,449.0,-2.0019550342130987,-495.703125,-2.0,-92.109375
29,16,5710,0,-210,-1.0,2,-4321,-6.5,0.41,465.0,-2.0019550342130987,-73.828125,-2.0,-1519.1015625
30,16,5726,0,-2028,-4.2,2,-905,-1.1,0.07,481.0,-2.0019550342130987,-712.96875,-2.0,-318.1640625
31,16,5742,0,-4777,-4.1,2,-3240,-2.5,0.58,497.0,-2.0019550342130987,-1679.4140625,-2.0,-1139.0625
32,16,5758,0,-3877,-1.4,2,-4187,-4.0,0.28,513.0,-2.0019550342130987,-1363.0078125,-2.0,-1471.9921875
33,16,5774,0,-906,-2.0,2,-2156,-3.4,0.47,529.0,-2.0019550342130987,-318.515625,-2.0,-757.96875
34,16,5790,0,-4774,-0.6,2,-3637,-0.2,0.62,545.0,-2.0019550342130987,-1678.359375,-2.0,-1278.6328125
35,17,5807,0,-410,-5.0,2,-4841,-3.7,0.34,562.0,-2.0019550342130987,-144.140625,-2.0,-1701.9140625
36,15,5822,0,-2615,-4.3,2,-4728,-0.1,0.36,577.0,-2.0019550342130987,-919.3359375,-2.0,-1662.1875
37,16,5838,0,-2615,-5.4,2,-115,-3.7,0.59,593.0,-2.0019550342130987,-919.3359375,-2.0,-40.4296875
38,17,5855,0,-1856,-5.2,2,-4265,-4.5,0.37,610.0,-2.0019550342130987,-652.5,-2.0,-1499.4140625
39,15,5870,0,-1466,-6.8,2,-3989,-0.1,0.49,625.0,-2.0019550342130987,-515.390625,-2.0,-1402.3828125
40,16,5886,0,-4756,-1.5,2,-1182,-1.4,0.37,641.0,-2.0019550342130987,-1672.03125,-2.0,-415.546875
41,17,5903,0,-3185,-3.9,2,-4967,-0.1,0.26,658.0,-2.0019550342130987,-1119.7265625,-2.0,-1746.2109375
42,16,5919,0,-447,-5.3,2,-4175,-1.0,0.06,674.0,-2.0019550342130987,-157.1484375,-2.0,-1467.7734375
43,16,5935,0,-4789,-2.2,2,-1623,-0.9,0.67,690.0,-2.0019550342130987,-1683.6328125,-2.0,-570.5859375
44,16,5951,0,-2665,-0.2,2,-2005,-2.4,0.16,706.0,-2.0019550342130987,-936.9140625,-2.0,-704.8828125
45,16,5967,0,-2561,-0.6,2,-669,-0.4,0.14,722.0,-2.0019550342130987,-900.3515625,-2.0,-235.1953125
46,16,5983,0,-1128,-2.0,2,-4906,-5.6,0.27,738.0,-2.0019550342130987,-396.5625,-2.0,-1724.765625
47,16,5999,0,-211,-0.3,2,-1985,-2.7,0.21,754.0,-2.0019550342130987,-74.1796875,-2.0,-697.8515625
48,17,6016,0,-4320,-4.5,2,-3145,-2.4,0.4,771.0,-2.0019550342130987,-1518.75,-2.0,-1105.6640625
49,15,6031,0,-1498,-5.4,2,-1892,-6.1,0.34,786.0,-2.0019550342130987,-526.640625,-2.0,-665.15625
50,16,6047,0,-2156,-5.2,2,-4192,-3.3,0.4,802.0,-2.0019550342130987,-757.96875,-2.0,-1473.75
51,17,6064,0,-151,-2.7,2,-4269,-4.9,0.2,819.0,-2.0019550342130987,-53.0859375,-2.0,-1500.8203125
52,15,6079,0,-4581,-3.5,2,-2991,-7.0,0.65,834.0,-2.0019550342130987,-1610.5078125,-2.0,-1051.5234375
