index,interval(ms),time(ms),command_slave,position_slave,speed_slave,command_master,position_master,speed_master,force_slave,elapsed_time(ms),command_slave_amps,position_slave_deg,command_master_amps,position_master_deg
100,14,4625,0,-4189,-2.4,2,-3109,-1.9,0.17,1397,-2.0019550342130987,-1472.6953125,-2.0,-1093.0078125
101,14,4639,0,-3329,-0.9,2,-2955,-6.0,0.62,1411,-2.0019550342130987,-1170.3515625,-2.0,-1038.8671875
102,14,4653,0,-2842,-2.7,2,-373,-1.0,0.17,1425,-2.0019550342130987,-999.140625,-2.0,-131.1328125
103,14,4667,0,-4437,-5.6,2,-2467,-4.3,0.65,1439,-2.0019550342130987,-1559.8828125,-2.0,-867.3046875
104,14,4681,0,-1205,-0.9,2,-2558,-2.4,0.09,1453,-2.0019550342130987,-423.6328125,-2.0,-899.296875
105,15,4696,0,-1485,-3.6,2,-2399,-6.3,0.11,1468,-2.0019550342130987,-522.0703125,-2.0,-843.3984375
106,14,4710,0,-2897,-5.6,2,-4892,-4.4,0.4,1482,-2.0019550342130987,-1018.4765625,-2.0,-1719.84375
107,13,4723,0,-2985,-5.0,2,-1784,-6.5,0.34,1495,-2.0019550342130987,-1049.4140625,-2.0,-627.1875
108,15,4738,0,-2219,-7.0,2,-4209,-1.1,0.48,1510,-2.0019550342130987,-780.1171875,-2.0,-1479.7265625
109,14,4752,0,-4173,-0.4,2,-3272,-0.5,0.11,1524,-2.0019550342130987,-1467.0703125,-2.0,-1150.3125
110,14,4766,0,-4833,-1.1,2,-4524,-1.4,0.55,1538,-2.0019550342130987,-1699.1015625,-2.0,-1590.46875
111,15,4781,0,-1334,-2.3,2,-4480,-4.6,0.19,1553,-2.0019550342130987,-468.984375,-2.0,-1575.0
112,14,4795,0,-4790,-5.2,2,-1789,-3.6,0.38,1567,-2.0019550342130987,-1683.984375,-2.0,-628.9453125
113,13,4808,0,-4282,-6.6,2,-3175,-2.3,0.31,1580,-2.0019550342130987,-1505.390625,-2.0,-1116.2109375
114,15,4823,0,-182,-3.6,2,-3175,-4.2,0.59,1595,-2.0019550342130987,-63.984375,-2.0,-1116.2109375
115,14,4837,0,-1971,-0.6,2,-3273,-6.0,0.14,1609,-2.0019550342130987,-692.9296875,-2.0,-1150.6640625
116,14,4851,0,-3460,-3.4,2,-4065,-2.7,0.42,1623,-2.0019550342130987,-1216.40625,-2.0,-1429.1015625
117,15,4866,0,-3135,-1.9,2,-4748,-6.6,0.65,1638,-2.0019550342130987,-1102.1484375,-2.0,-1669.21875
118,13,4879,0,-2763,-1.5,2,-4755,-5.0,0.55,1651,-2.0019550342130987,-971.3671875,-2.0,-1671.6796875
119,14,4893,0,-1808,-5.0,2,-253,-1.3,0.47,1665,-2.0019550342130987,-635.625,-2.0,-88.9453125
120,15,4908,0,-1553,-5.5,2,-3307,-2.1,0.52,1680,-2.0019550342130987,-545.9765625,-2.0,-1162.6171875
121,14,4922,0,-4836,-6.1,2,-1499,-4.5,0.24,1694,-2.0019550342130987,-1700.15625,-2.0,-526.9921875
122,14,4936,0,-42,-2.7,2,-3200,-1.1,0.09,1708,-2.0019550342130987,-14.765625,-2.0,-1125.0
123,14,4950,0,-4783,-2.4,2,-3962,-1.7,0.57,1722,-2.0019550342130987,-1681.5234375,-2.0,-1392.890625
124,14,4964,0,-4064,-3.9,2,-2281,-4.4,0.3,1736,-2.0019550342130987,-1428.75,-2.0,-801.9140625
125,14,4978,0,-1212,-4.1,2,-4013,-6.5,0.13,1750,-2.0019550342130987,-426.09375,-2.0,-1410.8203125
126,15,4993,0,-1088,-3.6,2,-4011,-0.6,0.64,1765,-2.0019550342130987,-382.5,-2.0,-1410.1171875
127,14,5007,0,-2333,-3.1,2,-2385,-5.5,0.34,1779,-2.0019550342130987,-820.1953125,-2.0,-838.4765625
128,14,5021,0,-3339,-1.5,2,-2181,-1.9,0.46,1793,-2.0019550342130987,-1173.8671875,-2.0,-766.7578125
129,14,5035,0,-2302,-1.2,2,-2361,-1.6,0.22,1807,-2.0019550342130987,-809.296875,-2.0,-830.0390625
130,14,5049,0,-4321,-3.5,2,-2609,-5.3,0.24,1821,-2.0019550342130987,-1519.1015625,-2.0,-917.2265625
131,14,5063,0,-635,-1.9,2,-546,-5.4,0.54,1835,-2.0019550342130987,-223.2421875,-2.0,-191.953125
132,15,5078,0,-3297,-2.8,2,-3968,-6.9,0.14,1850,-2.0019550342130987,-1159.1015625,-2.0,-1395.0
133,14,5092,0,-3023,-1.3,2,-1100,-3.1,0.41,1864,-2.0019550342130987,-1062.7734375,-2.0,-386.71875
134,13,5105,0,-253,-1.8,2,-121,-5.3,0.25,1877,-2.0019550342130987,-88.9453125,-2.0,-42.5390625
135,15,5120,0,-952,-0.8,2,-3971,-5.1,0.69,1892,-2.0019550342130987,-334.6875,-2.0,-1396.0546875
136,14,5134,0,-4097,-6.3,2,-4239,-0.8,0.44,1906,-2.0019550342130987,-1440.3515625,-2.0,-1490.2734375
137,14,5148,0,-1379,-3.3,2,-3004,-4.5,0.59,1920,-2.0019550342130987,-484.8046875,-2.0,-1056.09375
138,13,5161,0,-3506,-4.5,2,-2779,-1.8,0.05,1933,-2.0019550342130987,-1232.578125,-2.0,-976.9921875
139,15,5176,0,-3573,-4.8,2,-2556,-3.9,0.51,1948,-2.0019550342130987,-1256.1328125,-2.0,-898.59375
140,14,5190,0,-848,-4.4,2,-1430,-4.7,0.63,1962,-2.0019550342130987,-298.125,-2.0,-502.734375
141,14,5204,0,-2086,-1.1,2,-3234,-5.5,0.17,1976,-2.0019550342130987,-733.359375,-2.0,-1136.953125
142,15,5219,0,-3957,-4.8,2,-914,-4.1,0.63,1991,-2.0019550342130987,-1391.1328125,-2.0,-321.328125
143,13,5232,0,-1590,-3.7,2,-331,-5.5,0.28,2004,-2.0019550342130987,-558.984375,-2.0,-116.3671875
144,14,5246,0,-2689,-5.9,2,-2008,-1.4,0.14,2018,-2.0019550342130987,-945.3515625,-2.0,-705.9375
145,15,5261,0,-3029,-3.1,2,-3630,-3.4,0.54,2033,-2.0019550342130987,-1064.8828125,-2.0,-1276.171875
146,14,5275,0,-2143,-6.7,2,-1672,-1.3,0.34,2047,-2.0019550342130987,-753.3984375,-2.0,-587.8125
147,14,5289,0,-2317,-0.4,2,-1511,-2.9,0.48,2061,-2.0019550342130987,-814.5703125,-2.0,-531.2109375
148,15,5304,0,-289,-0.6,2,-3974,-2.9,0.1,2076,-2.0019550342130987,-101.6015625,-2.0,-1397.109375
149,13,5317,0,-4478,-0.6,2,-3110,-2.6,0.19,2089,-2.0019550342130987,-1574.296875,-2.0,-1093.359375
150,14,5331,0,-3559,-0.3,2,-3821,-5.6,0.18,2103,-2.0019550342130987,-1251.2109375,-2.0,-1343.3203125
151,15,5346,0,-130,-1.9,2,-2419,-1.5,0.45,2118,-2.0019550342130987,-45.703125,-2.0,-850.4296875
152,14,5360,0,-2268,-2.8,2,-2146,-1.1,0.04,2132,-2.0019550342130987,-797.34375,-2.0,-754.453125
153,14,5374,0,-2623,-5.8,2,-990,-2.1,0.07,2146,-2.0019550342130987,-922.1484375,-2.0,-348.046875
154,14,5388,0,-1623,-5.9,2,-1164,-5.0,0.66,2160,-2.0019550342130987,-570.5859375,-2.0,-409.21875
155,14,5402,0,-3888,-5.1,2,-44,-2.0,0.41,2174,-2.0019550342130987,-1366.875,-2.0,-15.46875
156,14,5416,0,-4952,-6.6,2,-956,-3.2,0.58,2188,-2.0019550342130987,-1740.9375,-2.0,-336.09375
157,15,5431,0,-4899,-0.5,2,-179,-0.9,0.12,2203,-2.0019550342130987,-1722.3046875,-2.0,-62.9296875
158,13,5444,0,-1755,-0.9,2,-3943,-3.0,0.22,2216,-2.0019550342130987,-616.9921875,-2.0,-1386.2109375
159,14,5458,0,-4195,-4.7,2,-2863,-2.1,0.15,2230,-2.0019550342130987,-1474.8046875,-2.0,-1006.5234375
160,15,5473,0,-497,-3.9,2,-1325,-1.2,0.52,2245,-2.0019550342130987,-174.7265625,-2.0,-465.8203125
161,14,5487,0,-3511,-2.8,2,-2946,-3.7,0.38,2259,-2.0019550342130987,-1234.3359375,-2.0,-1035.703125
162,14,5501,0,-111,-1.0,2,-3265,-2.5,0.48,2273,-2.0019550342130987,-39.0234375,-2.0,-1147.8515625
163,14,5515,0,-2506,-0.7,2,-2242,-2.8,0.62,2287,-2.0019550342130987,-881.015625,-2.0,-788.203125
164,14,5529,0,-2684,-0.6,2,-3580,-2.0,0.13,2301,-2.0019550342130987,-943.59375,-2.0,-1258.59375
165,14,5543,0,-1632,-1.9,2,-3153,-3.4,0.15,2315,-2.0019550342130987,-573.75,-2.0,-1108.4765625
166,15,5558,0,-2499,-6.6,2,-1872,-4.9,0.42,2330,-2.0019550342130987,-878.5546875,-2.0,-658.125
167,14,5572,0,-2125,-0.7,2,-3129,-5.1,0.37,2344,-2.0019550342130987,-747.0703125,-2.0,-1100.0390625
168,13,5585,0,-1281,-0.9,2,-1180,-5.6,0.68,2357,-2.0019550342130987,-450.3515625,-2.0,-414.84375
169,15,5600,0,-2370,-1.0,2,-1920,-0.7,0.01,2372,-2.0019550342130987,-833.203125,-2.0,-675.0
170,14,5614,0,-1862,-6.8,2,-3956,-6.2,0.56,2386,-2.0019550342130987,-654.609375,-2.0,-1390.78125
171,14,5628,0,-1425,-1.0,2,-1000,-5.4,0.58,2400,-2.0019550342130987,-500.9765625,-2.0,-351.5625
172,15,5643,0,-2630,-0.3,2,-3457,-6.7,0.22,2415,-2.0019550342130987,-924.609375,-2.0,-1215.3515625
173,14,5657,0,-4739,-2.6,2,-600,-7.0,0.07,2429,-2.0019550342130987,-1666.0546875,-2.0,-210.9375
174,13,5670,0,-3143,-5.7,2,-502,-0.6,0.05,2442,-2.0019550342130987,-1104.9609375,-2.0,-176.484375
175,15,5685,0,-3338,-0.1,2,-3390,-0.1,0.62,2457,-2.0019550342130987,-1173.515625,-2.0,-1191.796875
176,14,5699,0,-710,-5.5,2,-4257,-1.5,0.24,2471,-2.0019550342130987,-249.609375,-2.0,-1496.6015625
177,14,5713,0,-3466,-5.5,2,-2679,-6.9,0.51,2485,-2.0019550342130987,-1218.515625,-2.0,-941.8359375
178,14,5727,0,-4749,-4.1,2,-2217,-5.6,0.46,2499,-2.0019550342130987,-1669.5703125,-2.0,-779.4140625
179,14,5741,0,-2121,-2.2,2,-900,-0.3,0.17,2513,-2.0019550342130987,-745.6640625,-2.0,-316.40625
180,14,5755,0,-4122,-3.6,2,-4658,-6.5,0.6,2527,-2.0019550342130987,-1449.140625,-2.0,-1637.578125
181,15,5770,0,-1933,-7.0,2,-4293,-0.4,0.47,2542,-2.0019550342130987,-679.5703125,-2.0,-1509.2578125
182,14,5784,0,-4438,-3.7,2,-3031,-7.0,0.56,2556,-2.0019550342130987,-1560.234375,-2.0,-1065.5859375
183,13,5797,0,-2722,-5.7,2,-4239,-6.0,0.4,2569,-2.0019550342130987,-956.953125,-2.0,-1490.2734375
184,15,5812,0,-3022,-2.0,2,-2606,-3.3,0.55,2584,-2.0019550342130987,-1062.421875,-2.0,-916.171875
185,14,5826,0,-3449,-1.4,2,-1569,-6.6,0.58,2598,-2.0019550342130987,-1212.5390625,-2.0,-551.6015625
186,14,5840,0,-1224,-2.6,2,-748,-5.2,0.36,2612,-2.0019550342130987,-430.3125,-2.0,-262.96875
187,15,5855,0,-3546,-6.1,2,-1972,-5.9,0.11,2627,-2.0019550342130987,-1246.640625,-2.0,-693.28125
188,14,5869,0,-3337,-6.3,2,-976,-1.7,0.54,2641,-2.0019550342130987,-1173.1640625,-2.0,-343.125
189,13,5882,0,-3992,-3.9,2,-4448,-0.2,0.1,2654,-2.0019550342130987,-1403.4375,-2.0,-1563.75
190,15,5897,0,-1641,-2.1,2,-4621,-4.4,0.39,2669,-2.0019550342130987,-576.9140625,-2.0,-1624.5703125
191,14,5911,0,-1513,-5.7,2,-1101,-1.2,0.53,2683,-2.0019550342130987,-531.9140625,-2.0,-387.0703125
192,14,5925,0,-120,-0.4,2,-1717,-1.6,0.54,2697,-2.0019550342130987,-42.1875,-2.0,-603.6328125
193,15,5940,0,-1091,-4.3,2,-3166,-5.1,0.65,2712,-2.0019550342130987,-383.5546875,-2.0,-1113.046875
194,13,5953,0,-349,-3.1,2,-734,-2.3,0.14,2725,-2.0019550342130987,-122.6953125,-2.0,-258.046875
195,14,5967,0,-411,-3.3,2,-2227,-0.9,0.24,2739,-2.0019550342130987,-144.4921875,-2.0,-782.9296875
196,15,5982,0,-2064,-3.6,2,-4565,-3.9,0.18,2754,-2.0019550342130987,-725.625,-2.0,-1604.8828125
197,14,5996,0,-1972,-4.2,2,-930,-4.3,0.64,2768,-2.0019550342130987,-693.28125,-2.0,-326.953125
198,13,6009,0,-911,-5.4,2,-910,-4.9,0.5,2781,-2.0019550342130987,-320.2734375,-2.0,-319.921875
199,15,6024,0,-2537,-6.8,2,-1219,-3.9,0.59,2796,-2.0019550342130987,-891.9140625,-2.0,-428.5546875
200,14,6038,0,-1679,-3.7,2,-4872,-6.0,0.66,2810,-2.0019550342130987,-590.2734375,-2.0,-1712.8125
201,14,6052,0,-1041,-5.6,2,-8,-3.6,0.5,2824,-2.0019550342130987,-365.9765625,-2.0,-2.8125
202,14,6066,0,-1368,-1.1,2,-1223,-2.1,0.18,2838,-2.0019550342130987,-480.9375,-2.0,-429.9609375
203,14,6080,0,-1728,-6.7,2,-919,-5.7,0.42,2852,-2.0019550342130987,-607.5,-2.0,-323.0859375
204,14,6094,0,-1479,-1.4,2,-182,-3.9,0.2,2866,-2.0019550342130987,-519.9609375,-2.0,-63.984375
205,15,6109,0,-4804,-7.0,2,-2296,-4.1,0.04,2881,-2.0019550342130987,-1688.90625,-2.0,-807.1875
206,14,6123,0,-2856,-0.5,2,-4130,-4.4,0.13,2895,-2.0019550342130987,-1004.0625,-2.0,-1451.953125
207,13,6136,0,-2920,-3.2,2,-712,-4.8,0.07,2908,-2.0019550342130987,-1026.5625,-2.0,-250.3125
208,15,6151,0,-2200,-1.8,2,-160,-5.1,0.22,2923,-2.0019550342130987,-773.4375,-2.0,-56.25
209,14,6165,0,-3417,-3.5,2,-4341,-5.2,0.24,2937,-2.0019550342130987,-1201.2890625,-2.0,-1526.1328125
210,14,6179,0,-1439,-2.8,2,-1952,-5.6,0.58,2951,-2.0019550342130987,-505.8984375,-2.0,-686.25
211,15,6194,0,-3619,-4.0,2,-2972,-4.9,0.31,2966,-2.0019550342130987,-1272.3046875,-2.0,-1044.84375
212,13,6207,0,-4131,-1.5,2,-2531,-2.0,0.64,2979,-2.0019550342130987,-1452.3046875,-2.0,-889.8046875
213,14,6221,0,-4077,-2.5,2,-3781,-5.0,0.43,2993,-2.0019550342130987,-1433.3203125,-2.0,-1329.2578125
214,15,6236,0,-3757,-2.4,2,-4131,-2.0,0.53,3008,-2.0019550342130987,-1320.8203125,-2.0,-1452.3046875
